Title,Genre(s),Developer(s),Publisher(s),Release date,Addons,Ref.
Guilty Gear Strive,Fighting,Arc System Works,Arc System Works,"<span data-sort-value=""000000002021-04-09-0000"" style=""white-space:nowrap"">Apr 9, 2021","<span data-sort-value=""000000002021-04-09-0000"" style=""white-space:nowrap"">Apr 9, 2021","<span data-sort-value=""000000002021-04-09-0000"" style=""white-space:nowrap"">Apr 9, 2021",,
Haven,"Role-playing
adventure",The Game Bakers,The Game Bakers,"<span data-sort-value=""000000002020-12-03-0000"" style=""white-space:nowrap"">Dec 3, 2020","<span data-sort-value=""000000002020-12-03-0000"" style=""white-space:nowrap"">Dec 3, 2020","<span data-sort-value=""000000002020-12-03-0000"" style=""white-space:nowrap"">Dec 3, 2020",,[4]
Heavenly Bodies,Space station simulation,2pt Interactive,2pt Interactive,"<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021",,[4]
Hellpoint,Action role-playing,Cradle Games,TinyBuild,"<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021",CB,
Hitman 3,Stealth,IO Interactive,IO Interactive,TBA,"<span data-sort-value=""000000002021-01-20-0000"" style=""white-space:nowrap"">Jan 20, 2021","<span data-sort-value=""000000002021-01-20-0000"" style=""white-space:nowrap"">Jan 20, 2021",CB [d],
Hogwarts Legacy,Action role-playing,Avalanche Software,Portkey Games,"<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021",,
Hood: Outlaws & Legends,"Stealth
action",Sumo Digital,Focus Home Interactive,"<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021",,[4]
Horizon Forbidden West,Action role-playing,Guerrilla Games,Sony Interactive Entertainment,"<span data-sort-value=""000000002021-09-32-0000"">Q3/Q4 2021","<span data-sort-value=""000000002021-09-32-0000"">Q3/Q4 2021","<span data-sort-value=""000000002021-09-32-0000"">Q3/Q4 2021",CB,
Immortals Fenyx Rising,Action-adventure,Ubisoft Quebec,Ubisoft,"<span data-sort-value=""000000002020-12-03-0000"" style=""white-space:nowrap"">Dec 3, 2020","<span data-sort-value=""000000002020-12-03-0000"" style=""white-space:nowrap"">Dec 3, 2020","<span data-sort-value=""000000002020-12-03-0000"" style=""white-space:nowrap"">Dec 3, 2020",CB,
In Sound Mind,Psychological Horror,We Create Stuff,Modus Games,Unreleased,"<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021",,
Insurgency: Sandstorm,First-person shooter,New World Interactive,Focus Home Interactive,"<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021",,
Jett: The Far Shore,Action-adventure,"Superbrothers
Pine Scented",Superbrothers,"<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021",,[4]
Just Dance 2021,Music,Ubisoft Paris,Ubisoft,"<span data-sort-value=""000000002020-11-24-0000"" style=""white-space:nowrap"">Nov 24, 2020","<span data-sort-value=""000000002020-11-24-0000"" style=""white-space:nowrap"">Nov 24, 2020","<span data-sort-value=""000000002020-11-24-0000"" style=""white-space:nowrap"">Nov 24, 2020",CB,
Kena: Bridge of Spirits,Action-adventure,Ember Lab,Ember Lab,"<span data-sort-value=""000000002021-03-31-0000"">Q1 2021","<span data-sort-value=""000000002021-03-31-0000"">Q1 2021","<span data-sort-value=""000000002021-03-31-0000"">Q1 2021",CB,
King Arthur: Knight's Tale,Tactical role-playing,NeocoreGames,NeocoreGames,TBA,TBA,TBA,,[9]
Lego Star Wars: The Skywalker Saga,Action-adventure,Traveller's Tales,WB Games,"<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021",,
Little Devil Inside,Action-adventure,Neostream Interactive,Neostream Interactive,TBA,TBA,TBA,,
Little Nightmares 2,"Puzzle-platformer
survival horror",Tarsier Studios,Bandai Namco Entertainment,"<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021",CB,
"<span data-sort-value=""Lord of the Rings: Gollum !"">The Lord of the Rings: Gollum",Action-adventure,Daedalic Entertainment,Daedalic Entertainment,TBA,"<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021",,
Lords of the Fallen 2,Action role-playing,Hexworks,CI Games,TBA,TBA,TBA,,[10]
